"LOCATION","Country","TL","Territory level","GEO","Geography","VAR","Variable","TIME","Time","Value","Flag Codes","Flags"
"JPN","Japan","CITY","City","JPN14C","Hamamatsu","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.8,,
"COL","Colombia","CITY","City","COL39C","Duitama","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",14.9,,
"NZL","New Zealand","CITY","City","NZL10C","Whangarei","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",6.2,,
"SWE","Sweden","CITY","City","SE006C","Uppsala","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",5.6,,
"USA","United States","CITY","City","USA11C","Boston","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",6,,
"CAN","Canada","CITY","City","CAN14C","Windsor","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.4,,
"ESP","Spain","CITY","City","ES018C","Logroño","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.9,,
"IRL","Ireland","CITY","City","IE004C","Galway","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.1,,
"GBR","United Kingdom","CITY","City","UK047C","Chesterfield","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9.6,,
"ITA","Italy","CITY","City","IT007C","Firenze","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.3,,
"USA","United States","CITY","City","USA43C","Virginia Beach","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",6.5,,
"USA","United States","CITY","City","USA136C","Muscogee","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.4,,
"MEX","Mexico","CITY","City","MEX16C","Culiacan","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.5,,
"USA","United States","CITY","City","USA187C","Johnson","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.8,,
"COL","Colombia","CITY","City","COL25C","Riohacha","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.5,,
"PRT","Portugal","CITY","City","PT003C","Braga","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.4,,
"AUS","Australia","CITY","City","AUS17C","Toowoomba","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.1,,
"ESP","Spain","CITY","City","ES027C","Telde","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.5,,
"ITA","Italy","CITY","City","IT013C","Cremona","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",23,,
"USA","United States","CITY","City","USA32C","Milwaukee","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.4,,
"ITA","Italy","CITY","City","IT081C","Grosseto","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.7,,
"USA","United States","CITY","City","USA202C","Indian River","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",5,,
"MEX","Mexico","CITY","City","MEX30C","Durango","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.8,,
"MEX","Mexico","CITY","City","MEX12C","Torreon","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.2,,
"HUN","Hungary","CITY","City","HU014C","Békéscsaba","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.2,,
"JPN","Japan","CITY","City","JPN37C","Morioka","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.4,,
"MEX","Mexico","CITY","City","MEX47C","Tlaxcala","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",16.7,,
"KOR","Korea","CITY","City","KOR21C","Gangneung","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",26.6,,
"USA","United States","CITY","City","USA50C","Pima","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",6.5,,
"DEU","Germany","CITY","City","DE072C","Sankt Augustin","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.7,,
"FRA","France","CITY","City","FR076C","Annemasse-Geneva (French part)","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.7,,
"JPN","Japan","CITY","City","JPN24C","Nagasaki","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",16,,
"DEU","Germany","CITY","City","DE081C","Mannheim","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.1,,
"COL","Colombia","CITY","City","COL34C","Guadalajara de Buga","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.9,,
"COL","Colombia","CITY","City","COL16C","Valledupar","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",15.2,,
"GBR","United Kingdom","CITY","City","UK550C","Dundee City","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",6.8,,
