"LOCATION","Country","TL","Territory level","GEO","Geography","VAR","Variable","TIME","Time","Value","Flag Codes","Flags"
"MEX","Mexico","CITY","City","MEX22C","Acapulco de Juarez","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.6,,
"USA","United States","CITY","City","USA40C","Hartford","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",6.5,,
"POL","Poland","CITY","City","PL067C","Legnica","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",18,,
"LVA","Latvia","CITY","City","LV004C","Daugavpils","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12,,
"FRA","France","CITY","City","FR012C","Grenoble","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12,,
"ESP","Spain","CITY","City","ES054C","Granollers","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.3,,
"CAN","Canada","CITY","City","CAN23C","Red Deer","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",6.8,,
"CAN","Canada","CITY","City","CAN08C","Winnipeg","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",5,,
"TUR","Türkiye","CITY","City","TR017C","Kocaeli","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",24.3,,
"USA","United States","CITY","City","USA114C","Nueces","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.3,,
"CAN","Canada","CITY","City","CAN09C","Hamilton","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.9,,
"POL","Poland","CITY","City","PL065C","Tarnów","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",23.8,,
"CZE","Czechia","CITY","City","CZ001C","Praha","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.8,,
"MEX","Mexico","CITY","City","MEX39C","Orizaba","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",15.5,,
"KOR","Korea","CITY","City","KOR12C","Pohan","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",25.7,,
"TUR","Türkiye","CITY","City","TR008C","Edirne","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",20.5,,
"ITA","Italy","CITY","City","IT021C","Taranto","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.3,,
"DEU","Germany","CITY","City","DE097C","Leverkusen","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11,,
"FRA","France","CITY","City","FR011C","Montpellier","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.3,,
"DEU","Germany","CITY","City","DE022C","Moers","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.2,,
"CZE","Czechia","CITY","City","CZ006C","Olomouc","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",19.6,,
"ESP","Spain","CITY","City","ES015C","Santander","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.3,,
"FRA","France","CITY","City","FR039C","Besançon","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9.4,,
"ITA","Italy","CITY","City","IT076C","Vicenza","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",23.1,,
"MEX","Mexico","CITY","City","MEX66C","Othon P. Blanco","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",14.6,,
"USA","United States","CITY","City","USA93C","Forsyth","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7,,
"USA","United States","CITY","City","USA192C","Rock","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.8,,
"HUN","Hungary","CITY","City","HU008C","Kecskemét","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.4,,
"TUR","Türkiye","CITY","City","TR018C","Konya","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",24.6,,
"GBR","United Kingdom","CITY","City","UK021C","Stevenage","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.7,,
"POL","Poland","CITY","City","PL009C","Lublin","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",18.5,,
"GRC","Greece","CITY","City","EL008C","Kavala","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.3,,
"TUR","Türkiye","CITY","City","TR002C","Adana","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",26.8,,
"USA","United States","CITY","City","USA16C","San Diego","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.2,,
"USA","United States","CITY","City","USA52C","Albany","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",6.3,,
"JPN","Japan","CITY","City","JPN47C","Isesaki","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.5,,
"NZL","New Zealand","CITY","City","NZL05C","Tauranga","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",6.3,,
"DEU","Germany","CITY","City","DE075C","Greifswald","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.3,,
"ITA","Italy","CITY","City","IT006C","Genova","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.8,,
"KOR","Korea","CITY","City","KOR18C","Chuncheon","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",26.6,,
"NLD","Netherlands","CITY","City","NL033C","Nijmegen","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.2,,
"BGR","Bulgaria","CITY","City","BG014C","Haskovo","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",19.6,,
"POL","Poland","CITY","City","PL048C","Leszno","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",19.3,,
"USA","United States","CITY","City","USA112C","Cameron","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.7,,
"NOR","Norway","CITY","City","NO001C","Oslo","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.9,,
"AUS","Australia","CITY","City","AUS19C","Bendigo","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.9,,
"DEU","Germany","CITY","City","DE094C","Solingen","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.2,,
"CAN","Canada","CITY","City","CAN15C","Saskatoon","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.7,,
"FRA","France","CITY","City","FR022C","Le Havre","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9.9,,
"USA","United States","CITY","City","USA208C","Douglas (KS)","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.5,,
"MEX","Mexico","CITY","City","MEX49C","Uruapan","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13,,
"USA","United States","CITY","City","USA23C","Orange","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",5.7,,
"BEL","Belgium","CITY","City","BE009C","Mons","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11,,
"USA","United States","CITY","City","USA51C","Tulsa","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.2,,
"JPN","Japan","CITY","City","JPN46C","Fuji","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.5,,
"DEU","Germany","CITY","City","DE085C","Braunschweig","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.3,,
"ESP","Spain","CITY","City","ES051C","Línea de la Concepción, La","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13,,
"GBR","United Kingdom","CITY","City","UK554C","Maidstone","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11,,
"ITA","Italy","CITY","City","IT041C","Treviso","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",21,,
"ESP","Spain","CITY","City","ES094C","Torrelavega","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9.1,,
"ESP","Spain","CITY","City","ES076C","Ourense","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.2,,
"GBR","United Kingdom","CITY","City","UK055C","Eastbourne","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.8,,
"GRC","Greece","CITY","City","EL004C","Irakleio","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",20,,
"USA","United States","CITY","City","USA03C","Chicago","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9.3,,
"CAN","Canada","CITY","City","CAN16C","Sherbrooke","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",5.9,,
"NZL","New Zealand","CITY","City","NZL56C","Rangiora","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.6,,
"COL","Colombia","CITY","City","COL42C","Zipaquira","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",15.1,,
"POL","Poland","CITY","City","PL052C","Ełk","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",14.9,,
"USA","United States","CITY","City","USA30C","Austin","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.6,,
"DEU","Germany","CITY","City","DE127C","Bocholt, Stadt","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.5,,
"FRA","France","CITY","City","FR075C","Vannes","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7,,
"CHL","Chile","CITY","City","CL017C","Talca","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",25,,
"ITA","Italy","CITY","City","IT011C","Venezia","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",21.6,,
"LTU","Lithuania","CITY","City","LT004C","Alytus","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.2,,
"NLD","Netherlands","CITY","City","NL011C","Breda","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.8,,
"MEX","Mexico","CITY","City","MEX45C","Tapachula","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",17.7,,
"GBR","United Kingdom","CITY","City","UK043C","East Staffordshire","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.4,,
"BEL","Belgium","CITY","City","BE001C","Bruxelles/Brussel","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.8,,
"ESP","Spain","CITY","City","ES026C","Reus","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.6,,
"NZL","New Zealand","CITY","City","NZL58C","Rolleston","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.7,,
"MEX","Mexico","CITY","City","MEX03C","Monterrey","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",14.1,,
"FRA","France","CITY","City","FR025C","Mulhouse","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.6,,
"ITA","Italy","CITY","City","IT069C","Ravenna","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",17.4,,
"ESP","Spain","CITY","City","ES039C","Ceuta","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",17,,
"ESP","Spain","CITY","City","ES070C","Huelva","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.4,,
"USA","United States","CITY","City","USA61C","Worcester","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",5.5,,
"ITA","Italy","CITY","City","IT040C","Pisa","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.4,,
"MEX","Mexico","CITY","City","MEX59C","Puerto Vallarta","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.9,,
"USA","United States","CITY","City","USA15C","Minneapolis","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",6.9,,
"CHL","Chile","CITY","City","CL003C","Calama","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",16.1,,
"USA","United States","CITY","City","USA111C","Berks","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.1,,
"FRA","France","CITY","City","FR032C","Limoges","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.2,,
"DEU","Germany","CITY","City","DE003C","München","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.6,,
"DEU","Germany","CITY","City","DE066C","Rosenheim","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.6,,
"DEU","Germany","CITY","City","DE021C","Mülheim a.d.Ruhr","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.5,,
"TUR","Türkiye","CITY","City","TR004C","Balikesir","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",27.2,,
"USA","United States","CITY","City","USA05C","San Francisco (Greater)","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.2,,
"POL","Poland","CITY","City","PL015C","Rzeszów","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",20.2,,
"DEU","Germany","CITY","City","DE062C","Fulda","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.4,,
"FRA","France","CITY","City","FR021C","Clermont-Ferrand","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9,,
"USA","United States","CITY","City","USA146C","Atlantic City","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",6.1,,
"HUN","Hungary","CITY","City","HU006C","Szeged","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",16.6,,
"USA","United States","CITY","City","USA194C","Centre","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.5,,
"POL","Poland","CITY","City","PL055C","Gliwice","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",26.6,,
"BEL","Belgium","CITY","City","BE002C","Antwerpen","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.6,,
"FRA","France","CITY","City","FR065C","Colmar","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.2,,
"HRV","Croatia","CITY","City","HR003C","Slavonski Brod","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",27.8,,
"USA","United States","CITY","City","USA12C","Phoenix","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",6.6,,
"USA","United States","CITY","City","USA20C","Portland","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",5.6,,
"USA","United States","CITY","City","USA57C","Kern","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.2,,
"JPN","Japan","CITY","City","JPN54C","Shunan","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.7,,
"GBR","United Kingdom","CITY","City","UK566C","Norwich","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.1,,
"CHE","Switzerland","CITY","City","CH001C","Bern","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.6,,
"FRA","France","CITY","City","FR030C","Saint-Denis","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",5.9,,
"ITA","Italy","CITY","City","IT083C","Trapani","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.2,,
"MEX","Mexico","CITY","City","MEX73C","San Martin Texmelucan","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",16.5,,
"ROU","Romania","CITY","City","RO025C","Galaţi","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.4,,
"USA","United States","CITY","City","USA144C","St. Lucie","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",5.2,,
"MEX","Mexico","CITY","City","MEX91C","Hidalgo del Parral","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.3,,
"USA","United States","CITY","City","USA105C","Genesee","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.3,,
"FIN","Finland","CITY","City","FI003C","Turku/Åbo","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",5.7,,
"POL","Poland","CITY","City","PL059C","Ruda Śląska","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",27.9,,
"DEU","Germany","CITY","City","DE063C","Kempten (Allgäu)","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9,,
"ITA","Italy","CITY","City","IT015C","Trieste","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.5,,
"GBR","United Kingdom","CITY","City","UK542C","Telford and Wrekin","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9.4,,
"GBR","United Kingdom","CITY","City","UK033C","Guildford","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9.8,,
"DEU","Germany","CITY","City","DE124C","Wuppertal","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.1,,
"NLD","Netherlands","CITY","City","NL035C","Oss","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.3,,
"KOR","Korea","CITY","City","KOR10C","Sebuk","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",26.7,,
"CHL","Chile","CITY","City","CL021C","Los Angeles","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",27.6,,
"AUS","Australia","CITY","City","AUS11C","Sunshine Coast","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.2,,
"ROU","Romania","CITY","City","RO017C","Tulcea","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.6,,
"NLD","Netherlands","CITY","City","NL008C","Arnhem","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.7,,
"USA","United States","CITY","City","USA191C","Sutter","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",6.5,,
"POL","Poland","CITY","City","PL008C","Bydgoszcz","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",16.7,,
"MEX","Mexico","CITY","City","MEX56C","Colima","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.2,,
"GBR","United Kingdom","CITY","City","UK562C","Preston","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9.4,,
"POL","Poland","CITY","City","PL002C","Łódź","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",20.9,,
"JPN","Japan","CITY","City","JPN06C","Sendai","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.5,,
"JPN","Japan","CITY","City","JPN39C","Fukushima","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.2,,
"ESP","Spain","CITY","City","ES019C","Bilbao","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.6,,
"DEU","Germany","CITY","City","DE077C","Speyer","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.2,,
"USA","United States","CITY","City","USA60C","East Baton Rouge","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8,,
"COL","Colombia","CITY","City","COL02C","Medellin","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",19.2,,
"ITA","Italy","CITY","City","IT014C","Trento","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.6,,
"FRA","France","CITY","City","FR071C","Belfort","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11,,
"CAN","Canada","CITY","City","CAN01C","Toronto","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.1,,
"ESP","Spain","CITY","City","ES010C","Palma de Mallorca","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.9,,
"AUS","Australia","CITY","City","AUS15C","Cairns","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.9,,
"ITA","Italy","CITY","City","IT079C","Alessandria","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",19.8,,
"COL","Colombia","CITY","City","COL06C","Bucaramanga","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",15.6,,
"KOR","Korea","CITY","City","KOR06C","Seongsan","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",25.4,,
"ITA","Italy","CITY","City","IT060C","Gela","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",15.3,,
"BEL","Belgium","CITY","City","BE013C","Mouscron","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.5,,
"MEX","Mexico","CITY","City","MEX86C","Acuna","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.2,,
"POL","Poland","CITY","City","PL001C","Warszawa","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",18.1,,
"GBR","United Kingdom","CITY","City","UK559C","Middlesbrough","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9.6,,
"ITA","Italy","CITY","City","IT010C","Catania","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11,,
"FRA","France","CITY","City","FR074C","Saint-Louis","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.9,,
"GBR","United Kingdom","CITY","City","UK520C","Southampton","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.9,,
"SVK","Slovak Republic","CITY","City","SK002C","Košice","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",18,,
"ITA","Italy","CITY","City","IT038C","Pesaro","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.7,,
"COL","Colombia","CITY","City","COL01C","Bogota D.C.","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",15,,
"FRA","France","CITY","City","FR033C","Aix-en-Provence","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.9,,
"COL","Colombia","CITY","City","COL36C","Quibdo","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",16.3,,
"DNK","Denmark","CITY","City","DK001C","København","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.3,,
"USA","United States","CITY","City","USA91C","Guilford","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.4,,
"GBR","United Kingdom","CITY","City","UK009C","Cardiff","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.1,,
"MEX","Mexico","CITY","City","MEX94C","Ocoyoacac","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",14.9,,
"MEX","Mexico","CITY","City","MEX37C","Poza Rica de Hidalgo","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",15.6,,
"USA","United States","CITY","City","USA74C","Lee","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",5.1,,
"ITA","Italy","CITY","City","IT053C","Altamura","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.4,,
"NZL","New Zealand","CITY","City","NZL55C","Pukekohe","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",6.6,,
"FRA","France","CITY","City","FR047C","Poitiers","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.4,,
"GBR","United Kingdom","CITY","City","UK588C","Harlow","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.8,,
"ESP","Spain","CITY","City","ES055C","Arrecife","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",5.3,,
"POL","Poland","CITY","City","PL042C","Chełm","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",17.5,,
"NLD","Netherlands","CITY","City","NL009C","Assen","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.2,,
"COL","Colombia","CITY","City","COL05C","Cartagena","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9.4,,
"HUN","Hungary","CITY","City","HU010C","Szombathely","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.9,,
"GBR","United Kingdom","CITY","City","UK532C","Luton","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.5,,
"GBR","United Kingdom","CITY","City","UK568C","Cheshire West and Chester","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9,,
"ROU","Romania","CITY","City","RO002C","Cluj-Napoca","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",16,,
"MEX","Mexico","CITY","City","MEX50C","Tehuacan","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",15.4,,
"USA","United States","CITY","City","USA149C","Lackawanna","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7,,
"GRC","Greece","CITY","City","EL013C","Xanthi","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.8,,
"DEU","Germany","CITY","City","DE058C","Aschaffenburg","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.4,,
"USA","United States","CITY","City","USA95C","Ingham","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.6,,
"AUS","Australia","CITY","City","AUS03C","Greater Brisbane","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8,,
"ITA","Italy","CITY","City","IT017C","Ancona","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",14.6,,
"ITA","Italy","CITY","City","IT054C","Bitonto","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.9,,
"NLD","Netherlands","CITY","City","NL045C","Zaanstad","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.1,,
"ESP","Spain","CITY","City","ES020C","Córdoba","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.1,,
"CHE","Switzerland","CITY","City","CH006C","Luzern","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.2,,
"USA","United States","CITY","City","USA168C","Outagamie","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8,,
"COL","Colombia","CITY","City","COL12C","Pasto","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9.6,,
"CHL","Chile","CITY","City","CL022C","Temuco","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",35.2,,
"NZL","New Zealand","CITY","City","NZL02C","Christchurch","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9.9,,
"NLD","Netherlands","CITY","City","NL034C","Nissewaard","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.8,,
"CHE","Switzerland","CITY","City","CH005C","Lausanne","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.1,,
"CZE","Czechia","CITY","City","CZ016C","Most","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.3,,
"POL","Poland","CITY","City","PL039C","Ostrów Wielkopolski","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",22.4,,
"DEU","Germany","CITY","City","DE067C","Frankenthal (Pfalz)","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.9,,
"DEU","Germany","CITY","City","DE054C","Gießen","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.6,,
"USA","United States","CITY","City","USA169C","Cass","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",6.4,,
"KOR","Korea","CITY","City","KOR02C","Gimhae","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",23.8,,
"GBR","United Kingdom","CITY","City","UK525C","Milton Keynes","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10,,
"POL","Poland","CITY","City","PL005C","Poznań","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",17.5,,
"USA","United States","CITY","City","USA120C","Cumberland (NC)","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.3,,
"CHE","Switzerland","CITY","City","CH002C","Zürich","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.6,,
"CAN","Canada","CITY","City","CAN06C","Edmonton","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.1,,
"CHL","Chile","CITY","City","CL004C","Antofagasta","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.7,,
"FRA","France","CITY","City","FR031C","Caen","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9.1,,
"TUR","Türkiye","CITY","City","TR001C","Ankara","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",21.4,,
"CZE","Czechia","CITY","City","CZ007C","Liberec","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",14.8,,
"DEU","Germany","CITY","City","DE016C","Bielefeld","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.3,,
